order_id,date,product,category,region,sales_rep,units_sold,unit_price,revenue,cost,profit,customer_rating
1001,2024-01-05,Laptop Pro,Electronics,North,Alice Johnson,12,1200.00,14400.00,9600.00,4800.00,4.5
1002,2024-01-08,Wireless Mouse,Accessories,South,Bob Smith,45,25.00,1125.00,562.50,562.50,4.2
1003,2024-01-10,Office Chair,Furniture,East,Carol White,8,350.00,2800.00,1680.00,1120.00,4.7
1004,2024-01-12,Laptop Pro,Electronics,West,David Lee,6,1200.00,7200.00,4800.00,2400.00,4.3
1005,2024-01-15,Standing Desk,Furniture,North,Alice Johnson,5,800.00,4000.00,2400.00,1600.00,4.8
1006,2024-01-18,Keyboard,Accessories,South,Bob Smith,60,75.00,4500.00,2250.00,2250.00,4.1
1007,2024-01-20,Monitor 27inch,Electronics,East,Carol White,10,450.00,4500.00,2700.00,1800.00,4.6
1008,2024-01-22,Laptop Pro,Electronics,North,Alice Johnson,9,1200.00,10800.00,7200.00,3600.00,4.4
1009,2024-01-25,Office Chair,Furniture,West,David Lee,12,350.00,4200.00,2520.00,1680.00,4.5
1010,2024-01-28,Wireless Mouse,Accessories,North,Bob Smith,80,25.00,2000.00,1000.00,1000.00,4.0
1011,2024-02-02,Monitor 27inch,Electronics,South,Carol White,15,450.00,6750.00,4050.00,2700.00,4.7
1012,2024-02-05,Standing Desk,Furniture,East,Alice Johnson,7,800.00,5600.00,3360.00,2240.00,4.9
1013,2024-02-08,Keyboard,Accessories,West,David Lee,90,75.00,6750.00,3375.00,3375.00,4.2
1014,2024-02-10,Laptop Pro,Electronics,South,Bob Smith,11,1200.00,13200.00,8800.00,4400.00,4.6
1015,2024-02-14,Office Chair,Furniture,North,Carol White,6,350.00,2100.00,1260.00,840.00,4.3
1016,2024-02-18,Wireless Mouse,Accessories,East,Alice Johnson,55,25.00,1375.00,687.50,687.50,4.1
1017,2024-02-20,Monitor 27inch,Electronics,West,David Lee,8,450.00,3600.00,2160.00,1440.00,4.5
1018,2024-02-22,Standing Desk,Furniture,South,Bob Smith,4,800.00,3200.00,1920.00,1280.00,4.7
1019,2024-02-25,Keyboard,Accessories,North,Carol White,75,75.00,5625.00,2812.50,2812.50,4.0
1020,2024-02-28,Laptop Pro,Electronics,East,Alice Johnson,14,1200.00,16800.00,11200.00,5600.00,4.8
1021,2024-03-03,Office Chair,Furniture,South,David Lee,9,350.00,3150.00,1890.00,1260.00,4.4
1022,2024-03-06,Wireless Mouse,Accessories,West,Bob Smith,70,25.00,1750.00,875.00,875.00,4.2
1023,2024-03-10,Monitor 27inch,Electronics,North,Carol White,12,450.00,5400.00,3240.00,2160.00,4.6
1024,2024-03-12,Standing Desk,Furniture,East,Alice Johnson,6,800.00,4800.00,2880.00,1920.00,4.8
1025,2024-03-15,Keyboard,Accessories,South,David Lee,85,75.00,6375.00,3187.50,3187.50,4.3
1026,2024-03-18,Laptop Pro,Electronics,West,Bob Smith,8,1200.00,9600.00,6400.00,3200.00,4.5
1027,2024-03-20,Office Chair,Furniture,North,Carol White,15,350.00,5250.00,3150.00,2100.00,4.7
1028,2024-03-25,Wireless Mouse,Accessories,East,Alice Johnson,65,25.00,1625.00,812.50,812.50,4.1
1029,2024-03-28,Monitor 27inch,Electronics,South,David Lee,11,450.00,4950.00,2970.00,1980.00,4.4
1030,2024-03-30,Standing Desk,Furniture,West,Bob Smith,5,800.00,4000.00,2400.00,1600.00,4.6
1031,2024-04-02,Keyboard,Accessories,North,Carol White,95,75.00,7125.00,3562.50,3562.50,4.2
1032,2024-04-05,Laptop Pro,Electronics,East,Alice Johnson,16,1200.00,19200.00,12800.00,6400.00,4.9
1033,2024-04-08,Office Chair,Furniture,South,David Lee,7,350.00,2450.00,1470.00,980.00,4.3
1034,2024-04-10,Wireless Mouse,Accessories,West,Bob Smith,50,25.00,1250.00,625.00,625.00,4.0
1035,2024-04-14,Monitor 27inch,Electronics,North,Carol White,9,450.00,4050.00,2430.00,1620.00,4.5
1036,2024-04-18,Standing Desk,Furniture,East,Alice Johnson,8,800.00,6400.00,3840.00,2560.00,4.8
1037,2024-04-20,Keyboard,Accessories,South,David Lee,70,75.00,5250.00,2625.00,2625.00,4.1
1038,2024-04-22,Laptop Pro,Electronics,West,Bob Smith,10,1200.00,12000.00,8000.00,4000.00,4.6
1039,2024-04-25,Office Chair,Furniture,North,Carol White,11,350.00,3850.00,2310.00,1540.00,4.4
1040,2024-04-28,Wireless Mouse,Accessories,East,Alice Johnson,60,25.00,1500.00,750.00,750.00,4.2
1041,2024-05-02,Monitor 27inch,Electronics,South,David Lee,14,450.00,6300.00,3780.00,2520.00,4.7
1042,2024-05-05,Standing Desk,Furniture,West,Bob Smith,6,800.00,4800.00,2880.00,1920.00,4.9
1043,2024-05-08,Keyboard,Accessories,North,Carol White,80,75.00,6000.00,3000.00,3000.00,4.3
1044,2024-05-10,Laptop Pro,Electronics,East,Alice Johnson,13,1200.00,15600.00,10400.00,5200.00,4.7
1045,2024-05-14,Office Chair,Furniture,South,David Lee,10,350.00,3500.00,2100.00,1400.00,4.5
1046,2024-05-18,Wireless Mouse,Accessories,West,Bob Smith,75,25.00,1875.00,937.50,937.50,4.1
1047,2024-05-20,Monitor 27inch,Electronics,North,Carol White,7,450.00,3150.00,1890.00,1260.00,4.4
1048,2024-05-25,Standing Desk,Furniture,East,Alice Johnson,9,800.00,7200.00,4320.00,2880.00,4.8
1049,2024-05-28,Keyboard,Accessories,South,David Lee,65,75.00,4875.00,2437.50,2437.50,4.2
1050,2024-05-30,Laptop Pro,Electronics,West,Bob Smith,7,1200.00,8400.00,5600.00,2800.00,4.5
